date,GSPC/HKD
1990-01-02,2809.5386090698244
1990-01-03,2802.991956298828
1990-01-04,2779.2054849243164
1990-01-05,2751.9147953796387
1990-01-08,2763.559893746948
1990-01-09,2730.706971862793
1990-01-10,2711.9701159362794
1990-01-11,2721.9495844665526
1990-01-12,2654.343347808838
1990-01-15,2631.4645
1990-01-16,2660.814525
1990-01-17,2634.9252523345945
1990-01-18,2641.1624620666503
1990-01-19,2648.4223023376467
1990-01-22,2580.2678381347655
1990-01-23,2589.7413416015625
1990-01-24,2579.9911962890624
1990-01-25,2547.2390311065674
1990-01-26,2544.823704650879
1990-01-29,2540.2023353515624
1990-01-30,2522.958355819702
1990-01-31,2570.608315109253
1990-02-01,2568.5075467529296
1990-02-02,2584.981684890747
1990-02-05,2591.914472671509
1990-02-06,2574.7105606018067
1990-02-07,2606.8545
1990-02-08,2600.7837892547604
1990-02-09,2605.572161865234
1990-02-12,2578.254775115967
1990-02-13,2585.6964401824953
1990-02-14,2592.8321712646484
1990-02-15,2615.1561243896485
1990-02-16,2598.0441295318606
1990-02-20,2561.4378287353516
1990-02-21,2558.775134857178
1990-02-22,2542.7399953002932
1990-02-23,2530.96315234375
1990-02-26,2566.715602862549
1990-02-27,2578.76923425293
1990-02-28,2591.5631793823245
1990-03-01,2598.13366574707
1990-03-02,2620.4668047332766
1990-03-05,2606.676193725586
1990-03-06,2639.267035797119
1990-03-07,2631.748070343018
1990-03-08,2658.3592891693115
1990-03-09,2640.7877207641604
1990-03-12,2646.1981499176027
1990-03-13,2624.6639999999998
1990-03-14,2630.9546618652344
1990-03-15,2640.6648272094726
1990-03-16,2670.932566607666
1990-03-19,2684.3434104614257
1990-03-20,2668.8230952270505
1990-03-21,2654.388543701172
1990-03-22,2623.249524078369
1990-03-23,2634.8010355377196
1990-03-26,2638.4096731567383
1990-03-27,2668.481
1990-03-28,2672.901
1990-03-29,2662.5923367614746
1990-03-30,2653.9115990600585
1990-04-02,2643.316505267334
1990-04-03,2680.3921142578124
1990-04-04,2660.9112794311523
1990-04-05,2658.2051807098387
1990-04-06,2652.7939352569583
1990-04-09,2662.173906921387
1990-04-10,2667.63295211792
1990-04-11,2665.779384689331
1990-04-12,2684.7845174468994
1990-04-16,2687.9032298583984
1990-04-17,2686.6082029113772
1990-04-18,2655.1287535125734
1990-04-19,2634.566296463013
1990-04-20,2611.757681945801
1990-04-23,2579.707029876709
1990-04-24,2573.8016098754883
1990-04-25,2586.679705490112
1990-04-26,2593.6133646087646
1990-04-27,2564.9186708374023
1990-04-30,2577.9243048706057
1990-05-01,2588.3936249999997
1990-05-02,2605.7330775878904
1990-05-03,2614.5937120666504
1990-05-04,2636.565799133301
1990-05-07,2653.92054548645
1990-05-08,2665.113001098633
1990-05-09,2670.879285888672
1990-05-10,2678.357857055664
1990-05-11,2742.1504
1990-05-14,2763.85725
1990-05-15,2759.8411904907225
1990-05-16,2756.067
