Date,Price
31/12/2025,446.193657
30/12/2025,449.89742
29/12/2025,448.398552
26/12/2025,441.959518
25/12/2025,454.388532
24/12/2025,453.377743
23/12/2025,454.8282
22/12/2025,449.963664
19/12/2025,439.804728
18/12/2025,434.67459
17/12/2025,441.349664
16/12/2025,431.267572
15/12/2025,439.68865
12/12/2025,446.33456
11/12/2025,449.416275
10/12/2025,455.787548
9/12/2025,453.091328
8/12/2025,456.655152
5/12/2025,466.626906
4/12/2025,463.004721
3/12/2025,458.022328
2/12/2025,455.482797
1/12/2025,463.116102
28/11/2025,462.871755
27/11/2025,458.21255
26/11/2025,454.25856
25/11/2025,450.979
24/11/2025,457.56396
21/11/2025,450.768192
20/11/2025,454.807434
19/11/2025,463.306982
18/11/2025,471.914576
17/11/2025,464.299112
14/11/2025,464.974878
13/11/2025,457.956816
12/11/2025,452.468374
11/11/2025,473.979246
10/11/2025,465.728358
7/11/2025,464.83129
6/11/2025,463.102824
5/11/2025,462.361409
4/11/2025,467.552416
3/11/2025,472.956625
31/10/2025,471.759197
30/10/2025,467.126388
29/10/2025,466.95939
28/10/2025,466.869255
27/10/2025,474.6248
23/10/2025,476.08209
22/10/2025,466.481442
21/10/2025,447.128913
20/10/2025,442.554354
17/10/2025,444.634596
16/10/2025,442.380258
15/10/2025,452.726604
14/10/2025,452.996807
13/10/2025,461.150235
10/10/2025,451.223552
9/10/2025,476.24004
8/10/2025,479.928274
7/10/2025,481.169788
6/10/2025,478.408716
3/10/2025,470.7505
2/10/2025,471.176766
1/10/2025,479.754135
30/9/2025,484.946268
29/9/2025,489.731528
26/9/2025,505.674
25/9/2025,506.452824
24/9/2025,502.270659
23/9/2025,494.715482
22/9/2025,483.940512
19/9/2025,485.063533
18/9/2025,491.479182
17/9/2025,495.873
16/9/2025,500.169108
15/9/2025,490.6846
12/9/2025,485.263548
11/9/2025,482.45066
10/9/2025,494.704794
9/9/2025,489.083868
8/9/2025,484.484593
5/9/2025,480.84099
4/9/2025,491.612718
3/9/2025,495.70271
2/9/2025,509.725559
1/9/2025,501.81492
29/8/2025,497.389767
28/8/2025,498.485052
27/8/2025,495.20868
26/8/2025,493.088418
25/8/2025,504.42084
22/8/2025,497.392925
21/8/2025,495.4076
20/8/2025,490.709406
19/8/2025,484.012146
18/8/2025,489.435023
15/8/2025,487.631829
14/8/2025,493.889565
13/8/2025,487.629576
12/8/2025,490.8605
11/8/2025,497.545676
8/8/2025,492.339456
7/8/2025,496.035181
6/8/2025,499.881632
5/8/2025,507.424
4/8/2025,515.659931
1/8/2025,523.169175
31/7/2025,540.223236
30/7/2025,548.315515
29/7/2025,540.08
28/7/2025,523.431332
25/7/2025,509.04656
24/7/2025,517.857903
23/7/2025,512.362973
22/7/2025,513.932953
21/7/2025,515.816929
18/7/2025,517.9218
17/7/2025,519.531929
16/7/2025,513.684368
15/7/2025,515.993646
14/7/2025,517.315
11/7/2025,530.567982
10/7/2025,516.53
9/7/2025,527.120785
8/7/2025,526.885288
7/7/2025,524.588768
4/7/2025,515.502933
3/7/2025,520.6905
2/7/2025,521.23336
1/7/2025,508.209
30/6/2025,504.912
27/6/2025,506.789544
26/6/2025,509.05953
25/6/2025,506.8745
24/6/2025,508.6015
23/6/2025,514.8815
20/6/2025,579.016
19/6/2025,577.517143
18/6/2025,574.61268
17/6/2025,576.560465
16/6/2025,562.744993
13/6/2025,562.102695
12/6/2025,534.073176
11/6/2025,529.128054
10/6/2025,505.967007
9/6/2025,506.17665
6/6/2025,503.064759
5/6/2025,491.015196
4/6/2025,486.712192
3/6/2025,491.730868
2/6/2025,490.365946
30/5/2025,472.492634
29/5/2025,474.356531
28/5/2025,485.758042
27/5/2025,478.299168
26/5/2025,480.208464
23/5/2025,482.409834
22/5/2025,474.538884
21/5/2025,479.481162
20/5/2025,492.221163
19/5/2025,485.943582
16/5/2025,483.939599
15/5/2025,478.676184
14/5/2025,482.113125
13/5/2025,493.179225
12/5/2025,479.788254
9/5/2025,472.011516
8/5/2025,464.950978
7/5/2025,448.60892
6/5/2025,459.454632
5/5/2025,441.135692
2/5/2025,450.823317
1/5/2025,454.852888
30/4/2025,450.445248
29/4/2025,465.689178
28/4/2025,478.976225
25/4/2025,488.561052
24/4/2025,486.011232
23/4/2025,482.135013
22/4/2025,497.29421
21/4/2025,487.988666
17/4/2025,494.56043
16/4/2025,483.280798
15/4/2025,472.42566
14/4/2025,474.285515
11/4/2025,472.9574
10/4/2025,461.093598
9/4/2025,484.817176
8/4/2025,444.956008
7/4/2025,474.134304
4/4/2025,483.011046
3/4/2025,516.77032
2/4/2025,537.74311
1/4/2025,552.521709
31/3/2025,553.405626
27/3/2025,542.100888
26/3/2025,541.061038
25/3/2025,537.698252
24/3/2025,536.80851
21/3/2025,530.449992
20/3/2025,532.345374
19/3/2025,521.103142
18/3/2025,517.888206
17/3/2025,522.032705
14/3/2025,520.00032
13/3/2025,517.206635
12/3/2025,523.792722
11/3/2025,515.799152
10/3/2025,508.8302
7/3/2025,519.508886
6/3/2025,513.800309
5/3/2025,514.342633
4/3/2025,525.890638
3/3/2025,529.522312
28/2/2025,542.92534
27/2/2025,544.418
26/2/2025,534.06693
25/2/2025,536.540774
24/2/2025,550.151924
21/2/2025,545.496595
20/2/2025,564.948195
19/2/2025,560.56616
18/2/2025,557.509395
17/2/2025,554.105844
14/2/2025,549.097468
13/2/2025,555.29866
12/2/2025,554.003464
11/2/2025,568.482432
10/2/2025,562.103262
7/2/2025,552.041916
6/2/2025,547.844068
5/2/2025,552.912264
4/2/2025,563.226477
3/2/2025,561.85367
31/1/2025,572.173903
30/1/2025,567.61806
29/1/2025,565.62128
28/1/2025,572.4092
27/1/2025,567.440966
24/1/2025,579.267491
23/1/2025,577.101828
22/1/2025,584.51942
21/1/2025,588.55356
20/1/2025,593.318052
17/1/2025,601.538634
16/1/2025,606.21795
15/1/2025,615.1493
14/1/2025,598.01088
13/1/2025,602.465204
10/1/2025,590.666705
9/1/2025,573.181125
8/1/2025,565.701213
7/1/2025,576.486771
6/1/2025,566.741617
3/1/2025,572.531219
2/1/2025,565.754925
1/1/2025,557.75676
31/12/2024,555.856612
30/12/2024,551.329637
27/12/2024,543.946944
26/12/2024,540.102087
25/12/2024,544.15602
24/12/2024,543.089616
23/12/2024,538.764866
20/12/2024,540.207
19/12/2024,537.105535
18/12/2024,539.110352
17/12/2024,541.668624
16/12/2024,545.65706
13/12/2024,549.466317
12/12/2024,541.11216
11/12/2024,543.83327
10/12/2024,530.426843
9/12/2024,528.101406
6/12/2024,521.1997
5/12/2024,530.661399
4/12/2024,533.542776
3/12/2024,543.23246
2/12/2024,529.142
29/11/2024,533.0533
28/11/2024,534.73332
27/11/2024,534.129024
26/11/2024,534.918717
25/11/2024,533.236344
22/11/2024,553.138146
21/11/2024,545.17113
20/11/2024,537.0615
19/11/2024,539.36883
18/11/2024,536.523548
15/11/2024,520.745339
14/11/2024,532.545328
13/11/2024,528.224934
12/11/2024,528.274968
11/11/2024,529.440604
8/11/2024,546.003135
7/11/2024,558.783846
6/11/2024,555.277019
5/11/2024,557.768952
4/11/2024,553.528962
1/11/2024,537.617097
31/10/2024,546.668057
30/10/2024,534.318125
29/10/2024,522.83288
28/10/2024,526.90092
25/10/2024,556.028356
24/10/2024,546.471133
23/10/2024,552.425146
22/10/2024,554.617056
21/10/2024,543.714355
18/10/2024,534.576
17/10/2024,546.173136
16/10/2024,544.945165
15/10/2024,547.432256
14/10/2024,552.479124
11/10/2024,581.99547
10/10/2024,583.201188
9/10/2024,566.10278
8/10/2024,571.214556
7/10/2024,596.017475
4/10/2024,575.47542
3/10/2024,571.02749
2/10/2024,547.961934
1/10/2024,548.498354
30/9/2024,529.631778
27/9/2024,532.000245
26/9/2024,522.508713
25/9/2024,540.39999
24/9/2024,555.735455
23/9/2024,548.50961
20/9/2024,554.010576
19/9/2024,552.715086
18/9/2024,540.118968
17/9/2024,544.502812
16/9/2024,539.878256
13/9/2024,532.963158
12/9/2024,534.89565
11/9/2024,519.925995
10/9/2024,512.438556
9/9/2024,531.487405
6/9/2024,527.280856
5/9/2024,536.9377
4/9/2024,536.724828
3/9/2024,544.420266
2/9/2024,570.986364
30/8/2024,570.606414
29/8/2024,585.670225
28/8/2024,577.095786
27/8/2024,588.046918
26/8/2024,598.335325
16/8/2024,610.059861
15/8/2024,611.26912
14/8/2024,605.4384
13/8/2024,614.792614
12/8/2024,621.939564
9/8/2024,603.5265
8/8/2024,595.89717
7/8/2024,591.430656
6/8/2024,570.9398
5/8/2024,581.17787
2/8/2024,583.045078
1/8/2024,604.623339
31/7/2024,618.24168
30/7/2024,593.100012
29/7/2024,595.88774
26/7/2024,602.747586
25/7/2024,617.173984
24/7/2024,611.39772
23/7/2024,610.609167
22/7/2024,617.853894
19/7/2024,622.074465
18/7/2024,639.100483
17/7/2024,646.271738
16/7/2024,630.619852
15/7/2024,639.266096
12/7/2024,642.775009
11/7/2024,649.107236
10/7/2024,645.17208
9/7/2024,639.317712
8/7/2024,643.589136
5/7/2024,653.002182
4/7/2024,657.197024
3/7/2024,654.921442
2/7/2024,650.621818
1/7/2024,653.638407
28/6/2024,638.77248
27/6/2024,641.797053
26/6/2024,632.068554
25/6/2024,632.95701
24/6/2024,640.449225
21/6/2024,631.949472
20/6/2024,637.143052
19/6/2024,632.194664
18/6/2024,633.780378
17/6/2024,626.291919
14/6/2024,613.366418
13/6/2024,608.953497
12/6/2024,612.171027
11/6/2024,611.296825
10/6/2024,610.867194
7/6/2024,590.493962
6/6/2024,592.577272
5/6/2024,582.901592
4/6/2024,571.699161
3/6/2024,580.83246
31/5/2024,605.480128
30/5/2024,609.983919
29/5/2024,621.407655
28/5/2024,629.20827
27/5/2024,616.338965
24/5/2024,610.765614
23/5/2024,603.026424
22/5/2024,605.338734
21/5/2024,614.128236
20/5/2024,621.446527
17/5/2024,624.011958
16/5/2024,619.337268
15/5/2024,616.56792
14/5/2024,613.022976
13/5/2024,619.077225
10/5/2024,612.398616
9/5/2024,623.837824
8/5/2024,621.21699
7/5/2024,614.206689
6/5/2024,618.497802
3/5/2024,611.484045
2/5/2024,621.344031
1/5/2024,621.451176
30/4/2024,639.101715
29/4/2024,649.285308
26/4/2024,658.673162
25/4/2024,659.09234
24/4/2024,651.275856
23/4/2024,657.47124
22/4/2024,647.05559
19/4/2024,647.636349
18/4/2024,646.778808
17/4/2024,648.810372
16/4/2024,669.836748
15/4/2024,672.163596
12/4/2024,670.87288
11/4/2024,671.002619
10/4/2024,677.056914
9/4/2024,669.264288
8/4/2024,680.017828
5/4/2024,680.748968
4/4/2024,682.80177
3/4/2024,671.780747
2/4/2024,671.345325
1/4/2024,658.43757
28/3/2024,653.04316
27/3/2024,641.950995
26/3/2024,638.492157
25/3/2024,644.343408
22/3/2024,635.035704
21/3/2024,636.208944
20/3/2024,641.704284
19/3/2024,648.37024
18/3/2024,646.022304
15/3/2024,633.776145
14/3/2024,633.363534
13/3/2024,623.908175
12/3/2024,610.70241
11/3/2024,611.336256
8/3/2024,609.435979
7/3/2024,620.259717
6/3/2024,619.521084
5/3/2024,612.93216
4/3/2024,616.664607
1/3/2024,625.96686
29/2/2024,613.856208
28/2/2024,612.92457
27/2/2024,614.817778
26/2/2024,608.769878
23/2/2024,600.86784
22/2/2024,613.65159
21/2/2024,612.454679
20/2/2024,605.635008
19/2/2024,612.603264
16/2/2024,613.815881
15/2/2024,609.045277
14/2/2024,598.0923
13/2/2024,607.317264
12/2/2024,601.416898
9/2/2024,598.598035
8/2/2024,597.44619
7/2/2024,577.973088
