Date,Price
2025-12-31,33583.913961
2025-12-30,33820.19431
2025-12-29,33677.156712
2025-12-26,35224.880782
2025-12-25,34952.694855
2025-12-24,34830.544892
2025-12-23,34911.797549999996
2025-12-22,34593.04776
2025-12-19,33759.99297
2025-12-18,33712.5706
2025-12-17,33778.811696
2025-12-16,33485.285520000005
2025-12-15,33484.04167
2025-12-12,33490.11512
2025-12-11,33332.913287999996
2025-12-10,32900.65613
2025-12-09,32760.324096
2025-12-08,32594.16024
2025-12-05,32674.237337000002
2025-12-04,32755.813400999996
2025-12-03,32742.057724000002
2025-12-02,32759.107458000002
2025-12-01,32967.464151
2025-11-28,32939.262117
2025-11-27,32343.815814999994
2025-11-26,32393.846856000004
2025-11-25,32121.756824999997
2025-11-24,32213.903489999997
2025-11-21,31643.273340000003
2025-11-20,31738.4445
2025-11-19,31798.580396
2025-11-18,31667.632224
2025-11-17,31445.224906000003
2025-11-14,31710.167382
2025-11-13,32417.249952000002
2025-11-12,32631.269940999995
2025-11-11,32075.445636000004
2025-11-10,31996.183419999994
2025-11-07,31105.82244
2025-11-06,30929.530398
2025-11-05,30963.675714
2025-11-04,30569.329520000003
2025-11-03,31102.980075
2025-10-31,31100.517196
2025-10-30,31269.729452999996
2025-10-29,30542.98298
2025-10-28,30709.57031
2025-10-27,30928.99112
2025-10-24,31951.428210000005
2025-10-23,32066.530155
2025-10-22,31819.521447000003
2025-10-21,32060.689710000002
2025-10-20,33842.1633
2025-10-17,33013.41964199999
2025-10-16,33617.014308000005
2025-10-15,32720.867784
2025-10-14,32202.732171000003
2025-10-13,31983.301349999998
2025-10-10,31272.017920000002
2025-10-09,30942.295893
2025-10-08,31431.527579999998
2025-10-07,31007.664588000003
2025-10-06,30828.371252
2025-10-03,30243.424229999997
2025-10-02,30014.987337
2025-10-01,30083.269020000003
2025-09-30,30030.011628
2025-09-29,29841.010762
2025-09-26,29253.163104
2025-09-25,29182.096584
2025-09-24,29063.479023
2025-09-23,29270.717859
2025-09-22,29111.570488
2025-09-19,28649.614006
2025-09-18,28345.103208
2025-09-17,28469.255136
2025-09-16,28710.702780000003
2025-09-15,28623.631400000002
2025-09-12,28345.008652
2025-09-11,28305.92701
2025-09-10,28359.180156
2025-09-09,28247.378016000002
2025-09-08,28333.737536000004
2025-09-05,27966.35757
2025-09-04,27663.317553
2025-09-03,27764.265886
2025-09-02,27588.183483
2025-09-01,27106.036589999996
2025-08-29,26885.0904
2025-08-28,26632.63164
2025-08-27,26453.331346
2025-08-26,26442.070992
2025-08-25,26301.36348
2025-08-22,26351.353595
2025-08-21,26089.461339999998
2025-08-20,26149.631586
2025-08-19,25857.604086
2025-08-18,26043.901835
2025-08-15,26102.428601
2025-08-14,26135.80545
2025-08-13,26333.959554
2025-08-12,26267.67
2025-08-11,26257.584466
2025-08-08,26679.743244
2025-08-07,26668.543769
2025-08-06,26446.627096
2025-08-05,26542.9695
2025-08-04,26480.617163
2025-08-01,26396.92656
2025-07-31,25828.353936000003
2025-07-30,25710.384975
2025-07-29,26115.694
2025-07-28,26019.592536
2025-07-25,26195.528127999998
2025-07-24,26439.640685
2025-07-23,26593.734222000003
2025-07-22,26936.93185
2025-07-21,26656.690420000003
2025-07-18,26291.59392
2025-07-17,26207.752445
2025-07-16,26269.649026
2025-07-15,26083.310026000003
2025-07-14,26248.83
2025-07-11,26343.222318
2025-07-10,26086.0995
2025-07-09,26012.370627999997
2025-07-08,25910.16493
2025-07-07,26183.204256
2025-07-04,26192.290336
2025-07-03,26113.5745
2025-07-02,26354.940264
2025-07-01,26212.7985
